Id,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to property,Lot size in square feet,Type of road access to property,Type of alley access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions (if more than one is present),Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on house,Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Type of foundation,Evaluates the height of the basement,Evaluates the general condition of the basement,Refers to walkout or garden level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second floor square feet,Low quality finished square feet (all floors),Above grade (ground) living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,Kitchen quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Year garage was built,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
893,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,8414,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,Above Average,Very Good,1963,2003,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,663,Unfinshed,0,396,1059,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1068,0,0,1068,0,1,1,0,3,1,Typical/Average,6,Typical Functionality,0,,Attached to home,1963.0,Rough Finished,1,264,Typical/Average,Typical/Average,Paved,192,0,0,0,0,0,,Minimum Privacy,,0,2,2006,Warranty Deed - Conventional,Normal Sale,154500
1106,2-STORY 1946 & NEWER,Residential Low Density,98.0,12256,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge,Normal,Normal,Single-family Detached,Two story,Very Good,Average,1994,1995,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,362.0,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1032,Unfinshed,0,431,1463,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1500,1122,0,2622,1,0,2,1,3,1,Good,9,Typical Functionality,2,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1994.0,Rough Finished,2,712,Typical/Average,Typical/Average,Paved,186,32,0,0,0,0,,,,0,4,2010,Warranty Deed - Conventional,Normal Sale,325000
414,1-STORY 1945 & OLDER,Residential Medium Density,56.0,8960,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street,Normal,Single-family Detached,One story,Average,Above Average,1927,1950,Gable,Standard (Composite) Shingle,Wood Shingles,Wd Shng,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1008,1008,Gas forced warm air furnace,Good,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1028,0,0,1028,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,1,Good - Masonry Fireplace in main level,Detached from home,1927.0,Unfinished,2,360,Typical/Average,Typical/Average,Paved,0,0,130,0,0,0,,,,0,3,2010,Warranty Deed - Conventional,Normal Sale,115000
523,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,50.0,5000,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Adjacent to feeder street,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,1947,1950,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,None,0.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,399,Unfinshed,0,605,1004,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1004,660,0,1664,0,0,2,0,3,1,Typical/Average,7,Typical Functionality,2,Good - Masonry Fireplace in main level,Detached from home,1950.0,Unfinished,2,420,Typical/Average,Typical/Average,Paved,0,24,36,0,0,0,,,,0,10,2006,Warranty Deed - Conventional,Normal Sale,159000
1037,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,89.0,12898,Paved,,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timberland,Normal,Normal,Single-family Detached,One story,Excellent,Average,2007,2008,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,70.0,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1022,Unfinshed,0,598,1620,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1620,0,0,1620,1,0,2,0,2,1,Excellent,6,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Attached to home,2008.0,Finished,3,912,Typical/Average,Typical/Average,Paved,228,0,0,0,0,0,,,,0,9,2009,Warranty Deed - Conventional,Normal Sale,315500
615,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Residential Medium Density,21.0,1491,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Meadow Village,Normal,Normal,Townhouse End Unit,Split Foyer,Below Average,Above Average,1972,1972,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Low Quality,150,Good Living Quarters,480,0,630,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,630,0,0,630,1,0,1,0,1,1,Typical/Average,3,Typical Functionality,0,,,,,0,0,,,Paved,96,24,0,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,75500
219,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,,15660,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Good,Excellent,1939,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,312.0,Good,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,341,Unfinshed,0,457,798,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1137,817,0,1954,0,1,1,1,3,1,Good,8,Typical Functionality,2,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1939.0,Unfinished,2,431,Typical/Average,Typical/Average,Paved,0,119,150,0,0,0,,,,0,5,2008,Warranty Deed - Conventional,Normal Sale,311500
1161,2-STORY PUD - 1946 & NEWER,Residential Low Density,24.0,2280,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northpark Villa,Normal,Normal,Twnhs,Two story,Above Average,Average,1978,1978,Gable,Standard (Composite) Shingle,Plywood,Brk Cmn,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,311,Unfinshed,0,544,855,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,855,601,0,1456,0,0,2,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1978.0,Unfinished,2,440,Typical/Average,Typical/Average,Paved,26,0,0,0,0,0,,,,0,7,2010,Warranty Deed - Conventional,Normal Sale,146000
650,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Residential Medium Density,21.0,1936,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Meadow Village,Normal,Normal,Twnhs,Split Foyer,Below Average,Above Average,1970,1970,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Below Average Living Quarters,131,Good Living Quarters,499,0,630,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,630,0,0,630,1,0,1,0,1,1,Typical/Average,3,Typical Functionality,0,,,,,0,0,,,Paved,0,0,0,0,0,0,,Minimum Privacy,,0,12,2007,Warranty Deed - Conventional,Normal Sale,84500
888,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,59.0,16466,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,1955,1955,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Good,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,816,816,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,872,521,0,1393,0,0,1,1,3,1,Typical/Average,8,Typical Functionality,0,,Attached to home,1955.0,Unfinished,1,300,Typical/Average,Typical/Average,Paved,121,0,0,0,265,0,,,,0,4,2008,Warranty Deed - Conventional,Normal Sale,135500
